R10,7.06,100.31,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT,117.18,48.13,180.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH,155.73,5.27,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,94.01,56.49,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,113.92,41.84,90.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,74.24,13.91,180.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,154.29,5.27,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,93.37,46.89,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,153.40,50.33,90.00,5K1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,160.17,52.67,90.00,5K1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,121.39,47.23,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,77.24,13.01,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,78.30,15.91,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,37.72,50.01,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,41.94,29.21,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,47.36,29.01,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,44.78,29.01,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,80.50,24.51,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,63.95,108.65,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,20.60,108.27,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,89.42,57.94,180.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,52.69,108.54,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,82.28,24.53,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,60.43,108.49,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,155.95,10.72,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,74.26,11.59,0.00,,SJ
TP1,12.61,67.99,0.00,TPTP20R,TP20R
TP10,20.69,43.51,0.00,TPTP20R,TP20R
TP11,106.49,17.59,0.00,TPTP20R,TP20R
TP12,102.84,14.51,0.00,TPTP20R,TP20R
TP13,18.19,67.91,0.00,TPTP20R,TP20R
TP14,160.29,49.29,0.00,TPTP20R,TP20R
TP15,17.14,43.19,0.00,TPTP20R,TP20R
TP16,9.19,43.19,0.00,TPTP20R,TP20R
TP17,106.54,14.19,0.00,TPTP20R,TP20R
TP2,15.23,67.99,0.00,TPTP20R,TP20R
TP3,29.45,56.09,0.00,TPTP20R,TP20R
TP4,88.87,40.99,0.00,TPTP20R,TP20R
TP5,85.39,41.09,0.00,TPTP20R,TP20R
TP6,9.71,67.89,0.00,TPTP20R,TP20R
TP7,14.43,43.19,0.00,TPTP20R,TP20R
TP8,11.75,43.19,0.00,TPTP20R,TP20R
TP9,102.77,17.49,0.00,TPTP20R,TP20R
U1,38.59,57.66,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.38,54.74,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,85.85,51.00,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,133.67,50.82,0.00,MAX17048G+T10,SON50P200X200X80-9N
